Aci,AcciaioInox,Xxx
Aes,ArgillaEspansa,Xxx
All,Alluminio,Xxx
Aqu,Aquapanel,Xxx
Ari,Aria,Xxx
Asa,AcciaioSatinato,Xxx
Asf,Asfalto,Xxx
Ban,BarrieraAntiradice,Xxx
Bca,BloccoCalcestruzzo,Xxx
Bro,Bronzo,Xxx
Bva,BarrieraVapore,Xxx
Cal,Calcestruzzo,Xxx
Car,CalcestruzzoArmato,Xxx
Cbi,ConglomeratoBituminoso,Xxx
Cem,Cemento,Xxx
Cer,CeramicaGen,Xxx
Cin,CalcestruzzoIndustriale,Xxx
Cle,Clearance,Xxx
Clu,CalcestruzzoLucido,Xxx
Col,Colla,Xxx
Com,Compensato,Xxx
Cor,Corten,Xxx
Cpr,CalcestruzzoPrefabbricato,Xxx
Epd,Epdm,Xxx
Erb,Erba,Xxx
Fbi,FoglioDiBitume,Xxx
Fel,Feltro,Xxx
Fer,Ferro,Xxx
Fge,FibraDiGesso,Xxx
Fri,FibraRinforzata,Xxx
Gas,Gas,Xxx
Geg,GeoGrid,Xxx
Gen,Generico,Xxx
Geo,Geotessile,Xxx
Ges,Gesso,Xxx
Ghi,Ghiaia,Xxx
Gme,GrigliaMetallica,Xxx
Gra,Granito,Xxx
Gre,Gres,Xxx
Int,Intonaco,Xxx
Iso,Isolante,Xxx
Ite,IsolanteTermico,Xxx
Lau,LastraAutolivellante,Xxx
Leg,Legno,Xxx
Lev,Levocell,Xxx
Lin,Linoleum,Xxx
Liq,Liquido,Xxx
Lmi,LanaMinerale,Xxx
Lro,LanaDiRoccia,Xxx
Lzi,LamieraZincata,Xxx
Mac,MembranaAcustica,Xxx
Mad,MaltaAdesiva,Xxx
Mar,Marmo,Xxx
Mco,MattoneInCotto,Xxx
Met,Metallo,Xxx
Mic,Microcemento,Xxx
Mim,MembranaImpermeabile,Xxx
Mis,Misc,Xxx
Mle,MassettoLeggero,Xxx
Mlt,Multistrato,Xxx
Moq,Moquette,Xxx
Mri,MassettoRinforzato,Xxx
Mur,Muratura,Xxx
Oro,Oro,Xxx
Ott,Ottone,Xxx
Par,Parquet,Xxx
Pce,PannelloDiCemento,Xxx
Pep,PavimentazioneEpossidica,Xxx
Pes,PannelloEspanso,Xxx
Pia,Piastrella,Xxx
Pie,Pietra,Xxx
Pit,Pittura,Xxx
Pla,Plastica,Xxx
Ple,PoliuretanoEspanso,Xxx
Plp,Polipropilene,Xxx
Pol,Polietilene,Xxx
Por,Porcellana,Xxx
Pri,PannelloRigido,Xxx
Pvc,Pvc,Xxx
Pvi,PavimentazioneVinile,Xxx
Ram,Rame,Xxx
Res,Resina,Xxx
Sab,Sabbia,Xxx
Sme,SottostrutturaMetallica,Xxx
Sop,SottofondoPavimentazione,Xxx
Tap,Tappeto,Xxx
Ter,Terra,Xxx
Tes,Tessuto,Xxx
Tra,Travertino,Xxx
Vce,Vetrocemento,Xxx
Vet,Vetro,Xxx
Vop,VetroOpaco,Xxx
Vte,VetroTemperatoTrasparente,Xxx
Xla,Xlam,Xxx
Acc,Acciaio,Xxx