AC,Acustica
AM,VerificheAmbientali-bonifiche-CaratterizzazioneTerre-ecc
AR,Architettonico
CA,Cantierizzazione
EC,Economici-contabilità
GN,Generale
GO,Geologia/Geotecnica
ID,Idraulica/Idrologia
IE,ImpiantiElettriciEdElettroStrumentali
IM,ImpiantiMeccanici
IS,ImpiantiSpeciali
PA,Paesaggistica
PI,PrevenzioneIncendi
RL,Rilievo
SC,Sicurezza(D.Lgs81/08)
SE,SistemazioniEsterne-ArredoUrbano-illuminazione-verde
SS,Sottoservizi
ST,Strutture-OpereDiSostegno-fondazioni-scavi
TM,TopografiaEMonitoraggi
TR,ImpiantiDiTrasporto(elevatori-scale mobili)
UR,Modello URS
VI,Viabilità